COU,Country,IND,Indicator,SEX,Sex,AGE,Age Group,TIME,Time,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
IRL,Ireland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,10.3,,
KOR,Korea,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,8.6,,
ITA,Italy,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,26.2,,
POL,Poland,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,30.6,,
FIN,Finland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,7.2,,
ESP,Spain,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,2554,25-54,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,63.9,,
CHE,Switzerland,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,3.4,,
DEU,Germany,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,50.6,,
MEX,Mexico,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,5.5,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,0.7,,
JPN,Japan,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,5564,55-64,Q3-2010,Q3-2010,PC,Percentage,0,Units,,,3.5,,
TUR,Turkey,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,40.4,,
AUT,Austria,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,48.7,,
KOR,Korea,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,17.5,,
CHL,Chile,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,5564,55-64,Q2-2010,Q2-2010,PC,Percentage,0,Units,,,4.3,,
NLD,Netherlands,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,12.4,,
LUX,Luxembourg,EMP4_E,"Employment rate, by sex and age group, quarterly data",MEN,Men,1524,15-24,Q4-2010,Q4-2010,PC,Percentage,0,Units,,,22.1,,
NOR,Norway,EMP4_U,"Unemployment rate, by sex and age group, quarterly data",WOMEN,Women,1524,15-24,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,7.6,,
BEL,Belgium,EMP4_E,"Employment rate, by sex and age group, quarterly data",WOMEN,Women,1564,15-64,Q1-2010,Q1-2010,PC,Percentage,0,Units,,,57,,
