COUNTRY_(ISO),CODE,YEAR,TFR ,EXPFA1,EXPFA2,FA1_V3,FA2_V3,FA3_V3,DI,TB12,EARN,FW,MW,FLFP,UNEMP,AGRIC,PPP1,PPP2,CPI,IMR,PREM
AU ,1,1960,3.45,0.87,,2.0,4.0,6.0,,,,0.61,0.87,33.3,1.4,11.0,,0.70,9.24,20.2,
AU ,1,1961,3.55,1.01,,2.0,4.0,6.0,,,,0.63,0.89,34.6,2.8,10.9,,0.70,9.48,19.5,
AU ,1,1962,3.43,0.84,,2.0,4.0,6.0,,,,0.64,0.91,35.9,2.6,10.6,,0.69,9.46,20.4,
AU ,1,1963,3.34,0.77,,2.0,4.0,6.0,,,,0.64,0.92,37.2,2.1,10.4,,0.70,9.49,19.5,
AU ,1,1964,3.15,0.86,,2.0,4.0,6.0,,,,0.68,0.95,38.5,1.1,10.2,,0.71,9.73,19.1,
AU ,1,1965,2.97,0.84,,2.0,4.0,6.0,,,,0.69,0.99,39.8,1.2,9.8,,0.71,10.10,18.5,
AU ,1,1966,2.89,0.79,,2.0,4.0,6.0,,,,0.72,1.03,42.6,1.6,8.9,,0.71,10.41,18.7,
AU ,1,1967,2.85,,,2.0,4.0,6.0,,,,0.77,1.08,43.6,1.7,8.7,,0.71,10.75,18.3,
AU ,1,1968,2.89,,,2.0,4.0,6.0,,,,0.80,1.16,44.2,1.6,8.7,,0.70,11.03,17.8,
AU ,1,1969,2.89,,,2.0,4.0,6.0,,,,0.86,1.22,44.6,1.5,8.0,,0.71,11.37,17.9,
AU ,1,1970,2.86,0.74,,2.2,4.3,6.5,,,,1.14,1.79,46.5,1.4,8.0,0.75,0.69,11.79,17.9,78.8
AU ,1,1971,2.95,0.61,,2.2,4.3,8.7,,,,1.34,2.04,45.8,1.7,7.5,0.75,0.70,12.49,17.3,77.9
AU ,1,1972,2.74,0.59,,2.2,4.3,8.7,8.3,334,4945,1.49,2.20,46.6,2.5,7.9,0.77,0.72,13.25,16.7,77.0
AU ,1,1973,2.49,0.60,,2.2,4.3,8.7,7.8,361,5860,1.79,2.58,47.6,1.8,7.4,0.82,0.78,14.47,16.5,76.1
AU ,1,1974,2.32,0.53,,2.2,4.3,8.7,7.2,426,7534,2.55,3.44,48.6,2.4,6.9,0.89,0.84,16.69,16.1,75.2
AU ,1,1975,2.15,0.42,,2.2,4.3,8.7,13.7,878,8210,3.00,3.82,49.5,4.5,6.8,0.94,0.87,19.22,14.3,74.3
AU ,1,1976,2.06,0.47,,15.2,21.7,26.0,12.9,942,9328,3.42,4.33,49.6,4.7,6.5,1.00,0.93,21.78,13.8,73.0
AU ,1,1977,2.01,1.31,,15.2,21.7,26.0,12.4,983,10286,3.83,4.79,51.0,5.6,6.7,1.02,0.96,24.47,12.5,71.6
AU ,1,1978,1.95,1.21,,15.2,21.7,26.0,11.8,1023,11081,4.08,5.11,50.9,6.2,6.2,1.02,0.97,26.41,12.2,70.3
AU ,1,1979,1.91,1.07,,15.2,21.7,26.0,10.8,1040,11570,4.38,5.66,51.0,6.3,6.6,1.04,0.98,28.81,11.4,68.9
AU ,1,1980,1.89,0.97,0.91,15.2,21.7,26.0,11.7,1243,13769,5.01,6.37,52.5,6.1,6.5,1.05,0.99,31.75,10.7,67.6
AU ,1,1981,1.94,0.65,0.96,15.2,21.7,26.0,10.5,1273,15465,5.52,7.13,52.6,5.8,6.5,1.04,1.00,34.80,10.0,66.6
AU ,1,1982,1.93,0.64,1.13,15.2,21.7,39.0,11.5,1553,17462,6.58,8.41,52.5,7.2,6.4,1.09,1.05,38.71,10.3,67.0
AU ,1,1983,1.92,0.75,1.16,22.8,32.6,39.0,12.5,1694,17560,6.76,8.88,52.7,10.0,6.5,1.13,1.10,42.60,9.6,68.5
AU ,1,1984,1.84,0.74,1.13,22.8,32.6,39.0,11.1,1694,18829,7.41,9.31,53.5,9.0,6.2,1.15,1.12,44.27,9.2,68.6
AU ,1,1985,1.92,0.67,1.11,22.8,32.6,39.0,10.8,1694,20275,7.85,9.89,54.7,8.3,6.2,1.18,1.14,47.26,9.9,71.1
AU ,1,1986,1.87,0.62,1.00,22.8,32.6,39.0,10.3,1694,21491,8.34,10.43,57.3,8.1,6.0,1.23,1.19,51.55,8.8,73.1
AU ,1,1987,1.85,0.49,0.97,22.8,32.6,39.0,9.8,1694,22698,8.82,11.05,58.1,8.1,5.7,1.28,1.25,55.93,8.7,73.4
AU ,1,1988,1.83,0.47,1.06,22.8,32.6,39.0,9.1,1694,24913,9.60,12.06,59.3,7.2,5.8,1.34,1.32,59.99,8.7,72.4
AU ,1,1989,1.84,0.48,1.17,36.0,36.0,36.0,10.4,2167,27195,10.47,13.02,61.0,6.1,5.3,1.38,1.37,64.51,8.0,72.2
AU ,1,1990,1.90,0.60,1.26,40.0,40.0,40.0,10.7,2300,28078,11.09,13.45,62.2,6.9,5.4,1.39,1.38,69.21,8.2,71.3
AU ,1,1991,1.85,,1.44,40.0,40.0,40.0,10.8,2437,29140,11.66,13.77,62.1,9.6,5.3,1.37,1.36,71.44,7.1,70.6
AU ,1,1992,1.89,1.84,1.61,40.9,40.9,40.9,11.0,2494,29536,12.02,14.19,62.1,10.8,5.2,1.37,1.35,72.14,7.0,70.5
AU ,1,1993,1.86,,1.74,41.8,41.8,41.8,10.7,2523,30924,12.37,14.58,62.2,10.9,5.3,1.35,1.34,73.45,6.1,70.7
AU ,1,1994,1.84,,1.80,42.6,42.6,42.6,10.5,2689,33358,12.96,15.17,63.2,9.7,5.1,1.34,1.32,74.84,5.9,72.2
AU ,1,1995,1.82,,2.18,43.4,43.4,43.4,10.5,2642,33163,13.67,16.07,64.7,8.5,5.0,1.29,1.32,78.32,5.7,79.1
AU ,1,1996,1.80,,2.29,45.4,45.4,45.4,12.4,3312,35287,14.32,16.90,64.8,8.5,5.0,1.30,1.32,80.36,5.8,77.9
AU ,1,1997,1.78,,2.23,46.8,46.8,46.8,13.7,3815,37034,14.76,17.45,64.7,8.5,5.1,1.32,1.32,80.56,5.3,80.2
AU ,1,1998,1.76,,2.14,45.4,45.4,45.4,13.3,3849,38763,15.20,18.00,65.1,7.7,4.9,1.31,1.31,81.25,5.0,85.9
AU ,1,1999,1.76,,2.12,47.4,47.4,47.4,13.2,3896,39817,16.00,18.65,65.1,6.9,4.9,1.30,1.30,82.44,5.7,91.6
AU ,1,2000,1.76,,2.37,239.7,239.7,239.7,12.0,3863,41568,16.80,19.13,66.1,6.3,4.9,,1.31,86.13,5.2,97.3
AU ,1,2001,1.73,,2.38,246.6,246.6,246.6,11.9,3983,43710,17.63,19.98,66.6,6.8,4.8,,1.33,89.90,5.3,103.0
AU ,1,2002,1.76,,2.21,253.4,253.4,253.4,11.7,4103,45851,18.45,20.82,66.9,6.4,4.4,,1.34,92.60,5.0,100.0
AU ,1,2003,1.75,,2.64,260.3,260.3,260.3,11.0,4227,50732,19.18,22.11,67.7,6.1,3.9,,1.35,95.17,4.8,99.0
AU ,1,2004,1.76,,2.30,267.1,267.1,267.1,15.2,6127,53222,19.91,23.40,67.7,5.5,3.7,,1.37,97.40,4.7,101.0
AU ,1,2005,1.79,,2.18,267.1,267.1,267.1,17.2,6688,51169,21.77,24.76,69.0,5.1,3.6,,1.39,100.00,5.0,101.0
