Country,Note,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Australia,,0.03,0.03,0.03,0.04,0.05,0.06,0.06,0.06,0.06,0.05,0.06,0.10,0.12,0.14,0.18,0.19,0.19,0.17,0.35,0.38,0.38,0.41,0.42,0.40,0.40,0.38,0.35,0.39,0.47,0.49,0.52,0.54,0.57,0.60,0.66,0.66,0.65,..,..,..
Austria,,0.34,..,..,..,..,0.37,..,..,..,..,0.22,0.23,0.25,0.27,0.28,0.28,0.29,0.31,0.23,0.23,0.27,0.27,0.27,0.28,0.28,0.28,0.29,0.29,0.31,0.38,0.45,0.45,0.47,0.48,0.50,0.51,0.53,0.52,..,..
Belgium,,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.04,0.05,0.05,0.48,0.50,0.49,0.59,0.60,0.62,0.61,0.61,0.61,0.61,0.64,0.65,0.67,0.68,0.74,0.77,0.82,0.80,0.82,0.80,..,..
Canada,,..,..,..,..,..,..,..,..,..,..,..,0.10,0.11,0.11,0.11,0.12,0.12,0.11,0.11,0.14,0.14,0.18,0.18,0.19,0.19,0.20,0.21,0.20,0.20,0.22,0.22,0.22,0.23,0.22,0.22,0.24,0.23,0.23,0.23,..
Chile,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.20,0.25,0.24,0.24,0.26,0.28,0.27,0.26,0.30,0.37,0.46,0.43,0.40,0.41,0.45,0.47,0.55,0.61,0.64,0.64,0.62
Colombia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.41,0.43,0.42,0.40,0.36,0.34,..
Czech Republic,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.30,0.32,0.31,0.29,0.31,0.31,0.30,0.31,0.31,0.30,0.32,0.39,0.39,0.39,0.43,0.45,0.46,0.44,0.41,0.44,..,..
Denmark,,1.10,1.18,1.20,1.13,1.09,1.03,1.03,1.08,1.13,1.12,1.27,1.32,1.37,1.48,1.49,1.46,1.51,1.54,1.37,1.42,1.37,1.38,1.38,1.39,1.33,1.32,1.33,1.37,1.36,1.44,1.37,1.52,1.51,1.47,1.39,1.32,1.27,1.25,..,..
Estonia,,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,0.11,0.12,0.14,0.17,0.19,0.23,0.26,0.25,0.26,0.37,0.34,0.34,0.31,0.34,0.29,0.76,0.75,0.77,0.77,..,..
Finland,,0.57,0.63,0.68,0.73,0.74,0.85,0.89,0.92,0.93,0.99,1.09,1.22,1.17,1.09,1.02,1.01,1.09,1.05,1.02,1.00,0.93,0.89,0.89,0.89,0.88,0.90,0.88,0.87,0.92,1.03,1.03,1.05,1.09,1.11,1.09,1.12,1.10,1.06,..,..
