country,year,"Weeks of employment-protected parental leave available to mothers, regardless of income support"
Australia,1970,0.00
Australia,1971,0.00
Australia,1972,0.00
Australia,1973,0.00
Australia,1974,0.00
Australia,1975,0.00
Australia,1976,0.00
Australia,1977,0.00
Australia,1978,0.00
Australia,1979,0.00
Australia,1980,0.00
Australia,1981,0.00
Australia,1982,0.00
Australia,1983,0.00
Australia,1984,0.00
Australia,1985,0.00
Australia,1986,0.00
Australia,1987,0.00
Australia,1988,0.00
Australia,1989,0.00
Australia,1990,0.00
Australia,1991,0.00
Australia,1992,0.00
Australia,1993,0.00
Australia,1994,52.00
Australia,1995,52.00
Australia,1996,52.00
Australia,1997,52.00
Australia,1998,52.00
Australia,1999,52.00
Australia,2000,52.00
Australia,2001,52.00
Australia,2002,52.00
Australia,2003,52.00
Australia,2004,52.00
Australia,2005,52.00
Australia,2006,46.00
Australia,2007,46.00
Australia,2008,46.00
Australia,2009,46.00
Australia,2010,46.00
Australia,2011,34.00
Australia,2012,34.00
Australia,2013,34.00
Australia,2014,34.00
Australia,2015,34.00
Australia,2016,34.00
Australia,2017,34.00
Australia,2018,34.00
Australia,2019,34.00
Australia,2020,34.00
Australia,2021,34.00
Austria,1970,46.00
Austria,1971,46.00
Austria,1972,46.00
Austria,1973,46.00
Austria,1974,44.00
Austria,1975,44.00
Austria,1976,44.00
Austria,1977,44.00
Austria,1978,44.00
Austria,1979,44.00
Austria,1980,44.00
Austria,1981,44.00
Austria,1982,44.00
Austria,1983,44.00
Austria,1984,44.00
Austria,1985,44.00
Austria,1986,44.00
Austria,1987,44.00
Austria,1988,44.00
Austria,1989,44.00
Austria,1990,44.00
Austria,1991,96.00
Austria,1992,96.00
Austria,1993,96.00
Austria,1994,96.00
Austria,1995,96.00
Austria,1996,96.00
Austria,1997,70.00
Austria,1998,70.00
Austria,1999,70.00
Austria,2000,70.00
Austria,2001,70.00
Austria,2002,70.00
Austria,2003,70.00
Austria,2004,70.00
Austria,2005,70.00
Austria,2006,70.00
Austria,2007,70.00
Austria,2008,83.00
Austria,2009,83.00
Austria,2010,87.33
Austria,2011,87.33
Austria,2012,87.33
Austria,2013,87.33
Austria,2014,87.33
Austria,2015,87.33
Austria,2016,87.33
Austria,2017,87.33
Austria,2018,87.33
Austria,2019,87.33
Austria,2020,87.33
Austria,2021,87.33
Belgium,1970,0.00
Belgium,1971,0.00
Belgium,1972,0.00
Belgium,1973,0.00
Belgium,1974,0.00
Belgium,1975,0.00
Belgium,1976,0.00
